Item,Cost,Link
iPad Desk Mount,99.9,https://www.amazon.com/dp/B0B9Y27GM2/?coliid=IJUNQI4RYUPQZ&colid=1X9DUU48MNDF&ref_=list_c_wl_lv_ov_lig_dp_it&th=1
Monitor Desk Mount,76.99,https://www.amazon.com/dp/B08JGLSC9P/?coliid=I279Y39PRRFFNX&colid=1X9DUU48MNDF&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it
Flash Drive,24.99,https://www.amazon.com/Samsung-BAR-Plus-128GB-MUF-128BE3/dp/B07BPKL2D2/ref=sr_1_3?keywords=samsung%2Bflash%2Bdrive&qid=1696688526&sr=8-3&th=1
Milwauke Brad Nailer,259.0,https://www.amazon.com/Milwauke-FUEL-Gauge-Brad-Nailer/dp/B09DTSPN17/ref=sr_1_1?crid=186H1SNT8CYP0&keywords=milwaukee+brad&qid=1696688604&sprefix=milwaukee+brad+%2Caps%2C104&sr=8-1
Underwear,24.0,https://www.amazon.com/Hanes-Ultimate-Comfort-Cotton-4-Pack/dp/B079FV8T1Q?pd_rd_w=ZWEJU&content-id=amzn1.sym.d7105005-1122-4ebb-804b-fda01cf6b56f&pf_rd_p=d7105005-1122-4ebb-804b-fda01cf6b56f&pf_rd_r=17JA19THSJJRRE1KER5N&pd_rd_wg=0eGp7&pd_rd_r=6dffffdb-bd17-4976-b587-e76b1b87d911&pd_rd_i=B079FV8T1Q&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_t
Razer Gaming Mouse,95.77,https://www.amazon.com/Razer-Naga-Wireless-Gaming-Mouse/dp/B08D27XXRY/ref=sr_1_6?crid=PD8BMRGCEHYM&keywords=razer%2Bmouse%2Bwireless&qid=1698513575&sprefix=razer%2Bmouse%2Bwireless%2Caps%2C110&sr=8-6&ufe=app_do%3Aamzn1.fos.006c50ae-5d4c-4777-9bc0-4513d670b6bc&th=1
Letter Opener,19.63,https://www.amazon.com/Design-Toscano-Excalibur-Accessory-Polyresin/dp/B001O6G300/ref=sr_1_25?crid=4M2BD4LWWLYX&keywords=sword+letter+opener&qid=1699220689&sprefix=sward+letter+opener%2Caps%2C103&sr=8-25
3D Printer,599.0,https://us.store.bambulab.com/products/p1p
Clothes Steamer,59.99,https://www.amazon.com/Electrolux-Portable-Handheld-Garment-Steamer/dp/B08LMYP6T8/ref=sr_1_18?crid=1QW69T7NUM2U5&keywords=clothes%2Bsteamer&qid=1699711136&sprefix=clothes%2Bsteamer%2Caps%2C113&sr=8-18&ufe=app_do%3Aamzn1.fos.006c50ae-5d4c-4777-9bc0-4513d670b6bc&th=1
