Date,Distance,Destination,MPG
2023-08-01,22.0,Work,36.0
2023-08-01,22.0,Home,26.0
2023-08-02,22.3,Work,32.0
2023-08-02,22.5,Home,28.9
2023-08-03,22.3,Work,33.4
2023-08-03,22.5,Home,28.6
2023-08-07,22.3,Work,34.5
2023-08-07,23.8,Home,23.6
2023-08-08,22.5,Work,34.0
2023-08-08,20.8,Home,24.8
2023-08-09,22.3,Work,34.0
2023-08-09,22.5,Home,31.8
2023-08-16,22.3,Work,31.3
2023-08-16,23.7,Home,24.7
2023-08-17,22.3,Work,35.0
2023-08-17,22.5,Home,31.2
2023-08-18,6.4,Errand,13.0
2023-08-21,22.3,Work,35.9
2023-08-21,22.5,Home,25.1
2023-08-22,22.3,Work,33.0
2023-08-22,27.1,Home,20.4
2023-08-23,22.3,Work,33.3
2023-08-23,22.5,Home,25.5
2023-08-24,22.3,Work,31.3
2023-08-24,6.6,Errand,13.1
2023-08-24,16.6,Home,28.5
2023-08-25,6.6,Errand,24.8
2023-08-25,5.1,Home,25.2
2023-08-25,6.2,Errand,13.7
2023-08-28,22.3,Work,35.7
2023-08-28,22.5,Home,27.1
2023-08-29,22.3,Work,34.5
2023-08-29,22.5,Home,25.3
2023-08-29,5.6,Errand,27.9
2023-08-31,22.3,Work,32.8
2023-08-31,22.7,Home,26.8
